GEOID,TotPop,TotUnder5,Hispanic,BlackAloneOrCombo,AsianAloneOrCombo,AmerIndAloneorCombo,NatHawAloneOrCombo,ratioUnder5
48029190400,4259,52,1479,212,308,71,14,1.220943884
48029190501,3601,264,3345,8,38,100,0,7.331296862
48029190503,4146,206,3325,26,74,62,8,4.968644477
48029190504,2877,119,2173,95,19,60,0,4.136253041
48029190601,4183,386,3819,1,43,45,0,9.227826918
48029190603,3130,164,2707,58,56,73,0,5.239616613
48029190604,4348,423,3996,11,48,49,0,9.728610856
48029190700,3036,55,2055,125,50,0,0,1.811594203
48029190800,1999,86,346,90,5,4,13,4.302151076
48029190901,6122,371,4315,111,261,95,0,6.060111075
48029190902,3999,309,2612,176,22,165,18,7.726931733
48029191003,8848,646,6719,523,45,82,33,7.301084991
48029191004,4531,279,3648,168,263,74,8,6.157581108
48029191005,2246,197,1977,14,0,41,0,8.771148709
48029191006,6180,513,5543,360,0,16,0,8.300970874
48029191101,1811,76,565,21,51,0,0,4.196576477
48029191102,2611,152,1366,28,18,0,2,5.82152432
48029191201,3242,189,1677,92,0,18,0,5.829734732
48029191202,5218,229,2944,240,55,70,70,4.388654657
48029191303,1779,54,796,56,41,17,0,3.035413153
48029191304,2736,426,1752,391,29,22,0,15.57017544
48029191405,8893,402,3592,339,390,77,0,4.520409311
48029191406,6698,405,1651,70,294,125,0,6.046581069
48029191408,2952,209,1614,394,205,64,13,7.079945799
48029191409,6722,440,4069,658,263,136,27,6.545670931
48029191410,5024,514,2905,678,247,30,18,10.23089172
48029191411,4638,235,1741,728,355,56,0,5.066839155
48029191412,2412,103,431,30,166,29,17,4.270315091
48029191413,6309,328,2521,84,242,35,89,5.198922175
48029191503,5246,231,2083,41,229,121,9,4.403354937
48029191504,2554,98,469,37,210,25,0,3.837118246
48029191505,2276,103,684,30,170,21,0,4.525483304
48029191506,6526,468,2514,195,386,166,0,7.171314741
48029191701,1507,110,334,7,88,15,0,7.299270073
48029191702,7501,422,1810,482,172,0,25,5.625916544
48029191804,6956,338,1751,139,282,20,32,4.859114434
48029191806,8632,570,2502,194,681,180,132,6.603336423
48029191807,6521,562,2495,464,550,74,64,8.618310075
48029191808,4573,293,1389,373,367,17,0,6.407172534
48029191809,7752,492,2537,378,649,0,0,6.346749226
48029191810,4839,360,1457,313,447,29,4,7.439553627
48029191811,4452,282,1227,195,337,61,25,6.334231806
48029191812,4259,168,1187,558,488,9,0,3.944587931
48029191813,7084,605,2133,382,636,43,0,8.540372671
48029191814,5093,697,1649,190,160,66,94,13.68545062
